"name","address","longitude","latitude","bike_stands","available_bike_stands","available_bikes"
"17037 - BAYERN PEREIRE","40 RUE BAYEN - 75017 PARIS",2.29214066583,48.8818307175,22,3,19
"12042 - MONTEMPOIVRE","36-38 boulevard Soult - 75012 PARIS",2.40922942058,48.8403981722,42,6,36
"10023 - VERDUN","1 AVENUE DE VERDUN - 75010 PARIS",2.36091490832,48.8761560543,14,8,6
"18002 - CLIGNANCOURT","25 RUE DE CLIGNANCOURT - 75018 PARIS",2.34721103754,48.8853016219,24,22,2
"18032 - PORTE DE CLIGNANCOURT","FACE 59 RUE BELLIARD - 75018 PARIS",2.34399649934,48.8974884597,32,23,7
"14127 - ODESSA","5-7 RUE D'ODESSA - 75014 PARIS",2.32444156514,48.8428422781,40,18,22
"15125 - AQUABOULEVARD","2 AVENUE DE LA PORTE DE SEVRES / AQUABOULEVARD - 75015 PARIS",2.27663033405,48.833219823,50,2,48
"05034 - CENSIER","21 RUE CENSIER - 75005 PARIS",2.35371355203,48.8405086637,69,7,62
"16121 - SABLONS MAILLOT","ROUTE PORTE DES SABLONS / PORTE MAILLOT - 75016 PARIS",2.27056809721,48.8787208918,33,26,7
"09016 - MARTYRS CHORON","24 RUE DE CHORON - 75009 PARIS",2.33978496751,48.8777706953,17,8,9
"09037 - CLICHY PARME","01 RUE DE PARME - 75009 PARIS",2.32819709345,48.8812664242,23,21,2
"19003 - QUAI DE SEINE","3 QUAI DE LA SEINE - 75019 PARIS",2.36982957957,48.8843161806,25,15,9
"14023 - MALAKOFF PINARD","76-78 BOULEVARD ADOLPHE PINARD - 75014 PARIS",2.30776682559,48.8236534803,49,46,3
"17101 - ALEXANDRE CHARPENTIER","FACE 3 RUE ALEXANDRE CHARPENTIER - 75017 PARIS",2.28827375264,48.8843411247,23,2,21
"13014 - GARE D'AUSTERLITZ","5 BIS BOULEVARD DE L'HOPITAL - 75013 PARIS",2.36404495866,48.8425244908,14,0,14
